Date,Source,Site ID,POC,DailyMax,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/30/2020,AQS,080013001,1,45.1,ppb,42,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
01/31/2020,AQS,080013001,1,57.8,ppb,54,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/01/2020,AQS,080013001,1,46.1,ppb,43,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/02/2020,AQS,080013001,1,39.6,ppb,37,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/03/2020,AQS,080013001,1,5.7,ppb,5,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/04/2020,AQS,080013001,1,31,ppb,29,Welby,22,92.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/05/2020,AQS,080013001,1,50.7,ppb,47,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/06/2020,AQS,080013001,1,46.7,ppb,43,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/07/2020,AQS,080013001,1,30.1,ppb,28,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/08/2020,AQS,080013001,1,62,ppb,60,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/09/2020,AQS,080013001,1,36.9,ppb,34,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/10/2020,AQS,080013001,1,42.9,ppb,40,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/11/2020,AQS,080013001,1,58.2,ppb,55,Welby,21,88.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
